url,caption,comments,likes,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10
https://instagram.fhou1-2.fna.fbcdn.net/v/t51.2885-15/e35/122264929_3521491877920053_8429061626500837757_n.jpg?_nc_ht=instagram.fhou1-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=FGtEZXchH88AX8ontuW&_nc_tp=18&oh=77a6af396dfac010d071b1ca15d889b5&oe=5FBE2429,"The female gaze. Lingerie collection
Photographs by @annemariekevandrimmelen 
Art direction @fabienbaron 
Styled by @ludivinepoiblanc 
Thank you @edita_vilkeviciute @s_blomqvist @karlyloyce 

#zarawoman",246,42971,photography,black,white,fashion,turquoise,purse,body,woman,outerwear,textiles
https://instagram.fhou1-2.fna.fbcdn.net/v/t51.2885-15/e35/122080107_2413231975638324_1284451013245920266_n.jpg?_nc_ht=instagram.fhou1-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=trgzm4yKaaEAX_7aPoT&_nc_tp=18&oh=fa2c4de6049f1570a3f1c6a8f12e120b&oe=5FBCF6AE,"The female gaze. Lingerie collection
Photographs by @annemariekevandrimmelen 
Art direction @fabienbaron 
Styled by @ludivinepoiblanc 
Thank you @edita_vilkeviciute @s_blomqvist @karlyloyce 

#zarawoman",207,73761,photography,black,white,fashion,turquoise,purse,body,woman,outerwear,textiles
https://instagram.fhou1-2.fna.fbcdn.net/v/t51.2885-15/e35/122140027_213532163454772_6802823539314934799_n.jpg?_nc_ht=instagram.fhou1-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=98c164bAe9cAX-fMQKM&_nc_tp=18&oh=c03e45711dece474266b52e81062f22f&oe=5FBECA94,"The female gaze. Lingerie collection
Photographs by @annemariekevandrimmelen 
Art direction @fabienbaron 
Styled by @ludivinepoiblanc 
Thank you @edita_vilkeviciute @s_blomqvist @karlyloyce 

#zarawoman",121,41218,red,black,photography,blue,yellow,purse,body,woman,outerwear,textiles
https://instagram.fhou1-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/121828989_635394503808654_5186204885490223879_n.jpg?_nc_ht=instagram.fhou1-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=WAlf8Z9DsEsAX-dtgyj&tp=19&oh=115782977189718ce9ad8211aac88738&oe=5FBDE9B2,"FW20 Campaign. Kids Collection
Creative Direction: @fabienbaron
Photographs: @alasdairmclellan
Stylist: Karl Templer #KarlTempler
Hair and Make up: @benjaminmullerhair & @lilichoimakeup

#aw20 #zarakids #zaracampaign #fw20 @zarakids",426,74112,red,black,photography,blue,yellow,purse,body,woman,outerwear,textiles
https://instagram.fhou1-2.fna.fbcdn.net/v/t51.2885-15/e35/121820409_373341603793286_3377286997042203883_n.jpg?_nc_ht=instagram.fhou1-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=5dMwasb7ZrUAX-kbm6R&_nc_tp=18&oh=ca6fb2075978af6311eda1ec97b1c680&oe=5F95C8E8,"FW20 Campaign. Kids Collection
Creative Direction: @fabienbaron
Stylist: Karl Templer #KarlTempler
Hair and Make up: @benjaminmullerhair & @lilichoimakeup

#aw20 #zarakids #zaracampaign #fw20 @zarakids",133,38872,photography,black,white,fashion,turquoise,purse,body,woman,outerwear,textiles
https://instagram.fhou1-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/121637238_129807398537891_7930651113707661831_n.jpg?_nc_ht=instagram.fhou1-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=5vY6DtZLq30AX8tVCR_&tp=19&oh=05223825f94a98c927121a4aeaf25bbd&oe=5FBE6E0A,"FW20 Campaign. Kids Collection
Creative Direction: @fabienbaron
Photographs: @alasdairmclellan
Stylist: Karl Templer #KarlTempler
Hair and Make up: @benjaminmullerhair & @lilichoimakeup

#aw20 #zarakids #zaracampaign #fw20 @zarakids",205,56769,photography,black,white,fashion,turquoise,purse,body,woman,outerwear,textiles
https://instagram.fhou1-2.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/121710672_428627591451469_8097524057702629064_n.jpg?_nc_ht=instagram.fhou1-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=SpsE3gMm7MAAX-2Tzb0&_nc_tp=15&oh=a080d772d458a2ddb01f3db6d0b9f01a&oe=5FBC67FB,"FW20 Campaign. Man Collection
Creative Direction: @fabienbaron
Photographs: @craigmcdeanstudio
Stylist: Karl Templer #KarlTempler
Hair and Make up: @eugenesouleiman & @diane.kendal

Thank you @henrykitcher @jonasgloeer @youjustcallmejun @ty3kingz @boularoc #aw20 #zaraman #zaracampaign #fw20 @zaraman",117,35141,photography,black,white,fashion,turquoise,purse,body,woman,outerwear,textiles
https://instagram.fhou1-2.fna.fbcdn.net/v/t51.2885-15/e35/121497594_490130935278123_792860093213559440_n.jpg?_nc_ht=instagram.fhou1-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=ANfha5vg7MMAX8Gp-Ft&_nc_tp=18&oh=7c883afa805f7143b213c426740bb94d&oe=5F958251,"FW20 Campaign. Man Collection
Creative Direction: @fabienbaron
Stylist: Karl Templer #KarlTempler
Hair and Make up: @eugenesouleiman & @diane.kendal

Thank you @henrykitcher @jonasgloeer @youjustcallmejun @ty3kingz @boularoc #aw20 #zaraman #zaracampaign #fw20 @zaraman",195,34571,photography,black,white,fashion,turquoise,purse,body,woman,outerwear,textiles
https://instagram.fhou1-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/121514140_206802030864112_8013697713704332732_n.jpg?_nc_ht=instagram.fhou1-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=mbFHh71gye8AX9DqyEV&tp=19&oh=33d7cc7d03cdb549be0134ed14de82bc&oe=5FBBF161,"FW20 Campaign. Man Collection
Creative Direction: @fabienbaron
Photographs: @craigmcdeanstudio
Stylist: Karl Templer #KarlTempler
Hair and Make up: @eugenesouleiman & @diane.kendal

Thank you @henrykitcher @jonasgloeer @youjustcallmejun @ty3kingz @boularoc #aw20 #zaraman #zaracampaign #fw20 @zaraman",148,45012,photography,black,white,fashion,turquoise,purse,body,woman,outerwear,textiles
https://instagram.fhou1-2.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/121574294_445043336458931_8708579042956599159_n.jpg?_nc_ht=instagram.fhou1-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=fSZJNWln0bsAX9llTMN&_nc_tp=15&oh=b9f8383d8122e2abff3eca0c934c5fd5&oe=5FBBE04C,"FW20 Campaign. Woman Collection
Creative Direction: @fabienbaron
Photographs: Steven Meisel #StevenMeisel
Stylist: Karl Templer #KarlTempler
Hair and Make up: @guidopalau & @diane.kendal

Thank you @riannevanrompaey @mona_tougaard @sachaquenby @mikaschndr #aw20 #zarawoman #zaracampaign #fw20",283,65433,photography,black,white,fashion,turquoise,purse,body,woman,outerwear,textiles
https://instagram.fhou1-2.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/121330195_2817421655250355_4594672246235609001_n.jpg?_nc_ht=instagram.fhou1-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=jzeodEUVbysAX_TXRRE&_nc_tp=15&oh=0d3f9bc49cba30afb10b8bae84c60c44&oe=5FBD5181,"FW20 Campaign. Woman Collection
Creative Direction: @fabienbaron
Photographs: Steven Meisel #StevenMeisel
Stylist: Karl Templer #KarlTempler
Hair and Make up: @guidopalau & @diane.kendal

Thank you @riannevanrompaey @mona_tougaard @sachaquenby @mikaschndr #aw20 #zarawoman #zaracampaign #fw20",433,90061,photography,black,white,fashion,turquoise,purse,body,woman,outerwear,textiles
https://instagram.fhou1-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/120882053_788863858353453_3726585498533773828_n.jpg?_nc_ht=instagram.fhou1-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=6GdpjPGX7gcAX9Xs-Uo&tp=19&oh=518c7bad1914711b5a121c47049dc534&oe=5FBB0C2C,FW20 campaign. Coming soon #zaracampaign #zarakids @zarakids,270,36018,photography,black,white,fashion,turquoise,purse,body,woman,outerwear,textiles
https://instagram.fhou1-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/121124602_254182709344290_335201485951311479_n.jpg?_nc_ht=instagram.fhou1-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=dBnrsxxpZkIAX8OUkWr&tp=19&oh=c27c743dfcacd7647b0366793f2d3dba&oe=5FBC4C21,FW20 campaign. Coming soon #zaracampaign #zarawoman,199,38569,photography,black,white,fashion,turquoise,purse,body,woman,outerwear,textiles
https://instagram.fhou1-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/121202358_158106045958385_5685684629495695995_n.jpg?_nc_ht=instagram.fhou1-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=ouIBXAr-dNMAX-1HQMA&tp=19&oh=c4ae68785269a97b5dc3059e38635ef8&oe=5FBD13C3,FW20 campaign. Coming soon #zaracampaign #zaraman @zaraman,118,29462,photography,black,white,fashion,turquoise,purse,body,woman,outerwear,textiles
https://instagram.fhou1-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/121196527_974752259669343_1963273716344597117_n.jpg?_nc_ht=instagram.fhou1-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=_8Jf5jKXXGwAX85zR4i&tp=19&oh=df3dd0265667d5548e51719856935d29&oe=5FBE80F2,"Archive Collection 1996/2012 — Launching a re-edition of iconic classics from our archives. 

Spring/Summer 2011
Stella Tennant by David Sims

Reviving Zara campaigns from the last decades, the collection features re-edited garments from past seasons that are showcased through a selection of campaign images, giving them an updated look #zarawoman #zaraarchives",197,59224,photography,black,white,fashion,turquoise,purse,body,woman,outerwear,textiles
https://instagram.fhou1-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/120844807_3310867218960794_7220254150171452973_n.jpg?_nc_ht=instagram.fhou1-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=W8gr7yzzkc4AX8Kocc2&tp=19&oh=dc2d841b576f8a4f4049cf479d27e78f&oe=5FBE11BC,"Archive Collection 1996/2012 — Launching a re-edition of iconic classics from our archives. 

Autumn/Winter 1998/99

Amber Valletta by J.M.Ferrater

Reviving Zara campaigns from the last decades, the collection features re-edited garments from past seasons that are showcased through a selection of campaign images, giving them an updated look #zarawoman #zaraarchives",159,46952,photography,black,white,fashion,turquoise,purse,body,woman,outerwear,textiles
https://instagram.fhou1-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/121060892_342322673686945_5549613923350962038_n.jpg?_nc_ht=instagram.fhou1-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=LnaFtXjCxT8AX8QLc4C&tp=19&oh=8ae77d3d018e531d6e9354c612c2b8af&oe=5FBD7973,"Archive Collection 1996/2012 — Launching a re-edition of iconic classics from our archives. 

Autumn/Winter 1998/99
Carolyn Murphy by J.M.Ferrater

Reviving Zara campaigns from the last decades, the collection features re-edited garments from past seasons that are showcased through a selection of campaign images, giving them an updated look #zarawoman #zaraarchives",130,47258,photography,black,white,fashion,turquoise,purse,body,woman,outerwear,textiles
https://instagram.fhou1-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/121226359_901280823737008_2181533781977662444_n.jpg?_nc_ht=instagram.fhou1-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=9BXVZQBrxpcAX_RlSlz&tp=19&oh=631a41d16e0d680b10b11a73496bfed6&oe=5FBB3F3B,"Archive Collection 1996/2012 — Launching a re-edition of iconic classics from our archives. 

Autumn/Winter 1998/99
Amber Valletta by J.M.Ferrater

Reviving Zara campaigns from the last decades, the collection features re-edited garments from past seasons that are showcased through a selection of campaign images, giving them an updated look.
#zarawoman #zaraaarchives",261,52154,photography,black,white,fashion,turquoise,purse,body,woman,outerwear,textiles
https://instagram.fhou1-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/121022796_631625447501399_6532429360042908706_n.jpg?_nc_ht=instagram.fhou1-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=6FcicztagNEAX9GAi9q&tp=19&oh=ba4a0298396a10e7af91429cfe48d88e&oe=5FBBE1C0,"Archive Collection 1996/2012 — Launching a re-edition of iconic classics from our archives. 

Autumn/Winter 1996/97
Amber Valletta by Outumuro

Reviving Zara campaigns from the last decades, the collection features re-edited garments from past seasons that are showcased through a selection of campaign images, giving them an updated look.
#zarawoman #zaraaarchives",297,62484,photography,black,white,fashion,turquoise,purse,body,woman,outerwear,textiles
